IES;DOCENTES PERMANENTES;REFERÊNCIAS 
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;Krepischi, Ana C V ., Achatz, Maria Isabel W ., Santos, Erika M M ., Costa, Silvia S ., Lisboa, Bianca C G ., Brentani, Helena ., Santos, Tiago M ., Goncalves, Amanda ., Nobrega, Amanda F ., Pearson, Peter L ., Vianna-Morgante, Angela M ., Carraro, Dirce M ., Brentani, Ricardo R ., Rosenberg, Carla ., ACHATZ, M. I. W. . Germline DNA copy number variation in familial and early-onset breast cancer. Breast Cancer Research (Print), v. 14, p. R24, 2012.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;Goncalves, Amanda ., Ewald I.P. ., Nobrega, Amanda F ., Carraro, Dirce M ., TEIXEIRA, M. R. ., Ashton-Prolla, P ., ACHATZ, M. I. W. ., Rosenberg, Carla ., Krepischi, Ana C V . Li-Fraumeni-like syndrome associated with a large BRCA1 intragenic deletion. BMC Cancer (Online), v. 12, p. 237, 2012.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;Mai, Phuong L. Malkin, David Garber, Judy E. Schiffman, Joshua D. Weitzel, Jeffrey N. Strong, Louise C. Wyss, Oliver Locke, Luana Means, Von Achatz, Maria Isabel Hainaut, Pierre Frebourg, Thierry Evans, D. Gareth Bleiker, Eveline Patenaude, Andrea Schneider, Katherine Wilfond, Benjamin Peters, June A. Hwang, Paul M. Ford, James Tabori, Uri Ognjanovic, Simona Dennis, Phillip A. Wentzensen, Ingrid M. Greene, Mark H. , et al. ., Li-Fraumeni syndrome: report of a clinical research workshop and creation of a research consortium. CANCER GENET-NY, v. 1, p. 1, 2012.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;SILVA, AMANDA G ., Achatz, Maria Isabel ., KREPISCHI, ANA CV ., Pearson, Peter L ., Rosenberg, Carla . Number of rare germline CNVs and TP53mutation types. Orphanet Journal of Rare Diseases, v. 7, p. 101, 2012.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;ACHATZ, M. I. W. . A oncogenética e o desafio da identificação das famílias de alto risco. Onco&, v. 1, p. 24-27, 2012.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;Jamile Abud ., João Carlos Prolla ., ROSSI, C. ., PALMEIRO, E. I. ., VARGAS, F. R. ., Nunes LN ., ACHATZ, M. I. W. ., MOREIRA, M. A. ., ASHTON-PROLLA, P. . CHEK2 1100DELC germline mutation: a frequency study in hereditary breast and colon cancer Brazilian families. Arquivos de Gastroenterologia (Impresso), v. 49, p. 273-278, 2012.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;Mambelli L.I. ., Kerkis I. ., HAINAUT, P. ., ACHATZ, M. I. W. . Abstract 5349: Cancer stem cells isolation and characterization from breast tumor of a germline carrier of TP53 p.R337H (Brazilian founder) mutation. Cancer Research, v. 72, p. 5349-5349, 2012.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;Masciari, S ., Achatz, M ., FRAUMENI, J. F. ., Syngal, S ., GARBER, J. . Gastric cancer in individuals with Li-Fraumeni Syndrome. Genetics in Medicine, v. 1, p. 1, 2011.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;Silva EM ., ACHATZ, M. I. W. ., MARTEL-PLANCHE, G. ., Montagini, A ., OLIVIER, M. ., ASHTON-PROLLA, P. ., HAINAUT, P. ., SOARES, F. A. . TP53 mutation p.R337H in gastric cancer tissues of a 12-year-old male child - evidence for chimerism involving a common mutant founder haplotype: case report. BMC Cancer (Online), v. 11, p. 449, 2011.
FAP;ACHATZ, Maria Isabel Alves de Souza Waddington ;GIACOMAZZI J ., TOLEDO CA ., KOEHLER-SANTOS, P. ., Martel-Planche, Ghyslaine ., ACHATZ, M. I. ., Goldim J. R. ., M Caleffi ., Hainaut, P ., Ashton-Prolla, P . Contribution of TP53 p.R337H Mutation to Breast Cancer Incidence in Brazil.. Cancer Research, v. 71, p. 211s-211s, 2011.
